CustomerID,Age,Subscription Months,Satisfaction Score (1-10),Feedback
36,23.0,8.0,5.0,"Some meals were great, others were average."
37,23.0,1.0,7.0,"Some meals were great, others were average."
38,23.0,4.0,3.0,The ingredients didn’t seem fresh.
39,28.0,13.0,4.0,Delivery was late.
40,35.0,3.0,7.0,"Some meals were great, others were average."
41,26.0,7.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
42,24.0,1.0,7.0,"The service was okay, but portions could be bigger."
43,24.0,4.0,,"Good quality, needs more variety."
44,26.0,21.0,6.0,"Not bad, but not outstanding either."
45,21.0,6.0,4.0,Too expensive for the portion size.
46,26.0,18.0,6.0,"Not bad, but not outstanding either."
47,27.0,18.0,6.0,"Good quality, needs more variety."
48,26.0,23.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
49,27.0,18.0,,"Great meal plans, and customer service is fantastic."
50,,1.0,3.0,The ingredients didn’t seem fresh.
51,16.0,,8.0,Fresh ingredients and well-balanced meals—highly recommend!
52,28.0,1.0,6.0,"Some meals were great, others were average."
53,22.0,1.0,6.0,"Not bad, but not outstanding either."
54,,1.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
55,19.0,3.0,9.0,Loved the variety and convenience of the meals!
56,27.0,7.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
57,24.0,4.0,5.0,"Good quality, needs more variety."
58,17.0,1.0,6.0,"Some meals were great, others were average."
59,,5.0,8.0,"Healthy, tasty, and super easy to prepare!"
60,18.0,4.0,9.0,"Healthy, tasty, and super easy to prepare!"
61,,11.0,6.0,"Some meals were great, others were average."
62,26.0,2.0,,"Good quality, needs more variety."
63,29.0,1.0,5.0,"Not bad, but not outstanding either."
64,34.0,2.0,5.0,"Good quality, needs more variety."
65,18.0,2.0,9.0,"Great meal plans, and customer service is fantastic."
66,25.0,7.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
67,,5.0,7.0,"Good quality, needs more variety."
68,27.0,,9.0,The subscription saves me so much time!
69,26.0,3.0,,The subscription saves me so much time!
70,23.0,3.0,6.0,I wish they had more flexible delivery times.
71,,24.0,8.0,"Great meal plans, and customer service is fantastic."
72,19.0,2.0,,The subscription saves me so much time!
73,30.0,13.0,7.0,"Good quality, needs more variety."
74,27.0,9.0,10.0,"Healthy, tasty, and super easy to prepare!"
75,,1.0,2.0,Too expensive for the portion size.
76,23.0,24.0,9.0,"Great meal plans, and customer service is fantastic."
77,22.0,11.0,7.0,"Not bad, but not outstanding either."
78,20.0,9.0,6.0,"Not bad, but not outstanding either."
79,27.0,4.0,7.0,"Not bad, but not outstanding either."
80,20.0,6.0,3.0,I canceled my subscription after a week.
81,34.0,2.0,7.0,"Good quality, needs more variety."
82,18.0,1.0,8.0,"Healthy, tasty, and super easy to prepare!"
83,26.0,,10.0,Loved the variety and convenience of the meals!
84,33.0,18.0,6.0,"Good quality, needs more variety."
85,28.0,1.0,5.0,"Some meals were great, others were average."
86,26.0,12.0,6.0,I wish they had more flexible delivery times.
87,20.0,10.0,9.0,Loved the variety and convenience of the meals!
88,18.0,1.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
89,29.0,,6.0,"Not bad, but not outstanding either."
90,,4.0,8.0,The subscription saves me so much time!
91,,11.0,7.0,"Good quality, needs more variety."
92,,14.0,9.0,"Great meal plans, and customer service is fantastic."
93,13.0,,,"Not bad, but not outstanding either."
94,20.0,6.0,6.0,"Good quality, needs more variety."
95,,,,I wish they had more flexible delivery times.
96,33.0,12.0,4.0,I canceled my subscription after a week.
97,28.0,1.0,,"Healthy, tasty, and super easy to prepare!"
98,27.0,5.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
99,23.0,15.0,7.0,"Some meals were great, others were average."
100,,3.0,7.0,"Not bad, but not outstanding either."
101,,4.0,4.0,The meals were bland and arrived late!
102,26.0,,6.0,"Not bad, but not outstanding either."
103,,1.0,,"The service was okay, but portions could be bigger."
104,22.0,15.0,5.0,"The service was okay, but portions could be bigger."
105,,2.0,7.0,"Not bad, but not outstanding either."
106,22.0,1.0,8.0,"Great meal plans, and customer service is fantastic."
107,28.0,2.0,,Loved the variety and convenience of the meals!
108,,1.0,,"The service was okay, but portions could be bigger."
109,25.0,1.0,8.0,"Great meal plans, and customer service is fantastic."
110,,9.0,,"Some meals were great, others were average."
111,22.0,,3.0,The meals were bland and arrived late!
112,34.0,21.0,,"Good quality, needs more variety."
113,22.0,5.0,7.0,"Not bad, but not outstanding either."
114,25.0,,10.0,Fresh ingredients and well-balanced meals—highly recommend!
115,24.0,4.0,7.0,"Good quality, needs more variety."
116,26.0,9.0,8.0,The subscription saves me so much time!
117,,,,"The service was okay, but portions could be bigger."
118,27.0,1.0,5.0,"Some meals were great, others were average."
119,21.0,16.0,9.0,"Healthy, tasty, and super easy to prepare!"
120,19.0,4.0,9.0,"Great meal plans, and customer service is fantastic."
121,38.0,1.0,,"Great meal plans, and customer service is fantastic."
122,23.0,6.0,5.0,"Good quality, needs more variety."
123,,8.0,10.0,"Healthy, tasty, and super easy to prepare!"
124,17.0,2.0,4.0,Too expensive for the portion size.
125,24.0,12.0,8.0,"Great meal plans, and customer service is fantastic."
126,24.0,8.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
127,27.0,8.0,5.0,I wish they had more flexible delivery times.
128,11.0,,6.0,I wish they had more flexible delivery times.
129,26.0,24.0,7.0,"Not bad, but not outstanding either."
130,19.0,,,"The service was okay, but portions could be bigger."
131,27.0,6.0,4.0,Too expensive for the portion size.
132,20.0,2.0,7.0,"Some meals were great, others were average."
133,21.0,10.0,5.0,"Not bad, but not outstanding either."
134,24.0,1.0,8.0,"Healthy, tasty, and super easy to prepare!"
135,20.0,1.0,5.0,"The service was okay, but portions could be bigger."
136,23.0,13.0,10.0,"Great meal plans, and customer service is fantastic."
137,19.0,4.0,,"Some meals were great, others were average."
138,16.0,3.0,6.0,I wish they had more flexible delivery times.
139,30.0,,9.0,Loved the variety and convenience of the meals!
140,19.0,9.0,5.0,"Good quality, needs more variety."
141,24.0,1.0,7.0,"Some meals were great, others were average."
142,29.0,1.0,10.0,The subscription saves me so much time!
143,22.0,24.0,4.0,Delivery was late.
144,21.0,7.0,,"Not bad, but not outstanding either."
145,26.0,3.0,,Loved the variety and convenience of the meals!
146,31.0,12.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
147,19.0,5.0,5.0,"The service was okay, but portions could be bigger."
148,,2.0,4.0,Delivery was late.
149,16.0,,8.0,Loved the variety and convenience of the meals!
150,23.0,,8.0,Fresh ingredients and well-balanced meals—highly recommend!
151,25.0,15.0,8.0,The subscription saves me so much time!
152,21.0,1.0,8.0,Loved the variety and convenience of the meals!
153,23.0,1.0,6.0,"Not bad, but not outstanding either."
154,18.0,,7.0,"Some meals were great, others were average."
155,,1.0,8.0,Loved the variety and convenience of the meals!
156,30.0,7.0,6.0,I wish they had more flexible delivery times.
157,20.0,1.0,10.0,"Great meal plans, and customer service is fantastic."
158,22.0,,,"Great meal plans, and customer service is fantastic."
159,28.0,3.0,5.0,"Not bad, but not outstanding either."
160,,1.0,8.0,Loved the variety and convenience of the meals!
161,,6.0,5.0,"Good quality, needs more variety."
162,24.0,9.0,9.0,"Healthy, tasty, and super easy to prepare!"
163,26.0,9.0,9.0,"Healthy, tasty, and super easy to prepare!"
164,24.0,8.0,5.0,"Some meals were great, others were average."
165,13.0,5.0,9.0,The subscription saves me so much time!
166,28.0,5.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
167,33.0,8.0,9.0,"Great meal plans, and customer service is fantastic."
168,,,10.0,"Great meal plans, and customer service is fantastic."
169,20.0,8.0,,"Some meals were great, others were average."
170,22.0,7.0,5.0,"The service was okay, but portions could be bigger."
171,34.0,1.0,5.0,I wish they had more flexible delivery times.
172,30.0,1.0,5.0,"Not bad, but not outstanding either."
173,28.0,2.0,7.0,"Good quality, needs more variety."
174,27.0,20.0,8.0,The subscription saves me so much time!
175,22.0,11.0,8.0,"Healthy, tasty, and super easy to prepare!"
176,24.0,6.0,9.0,The subscription saves me so much time!
177,25.0,2.0,7.0,"Some meals were great, others were average."
178,,,10.0,Fresh ingredients and well-balanced meals—highly recommend!
179,33.0,18.0,6.0,I wish they had more flexible delivery times.
180,,17.0,10.0,Loved the variety and convenience of the meals!
181,18.0,1.0,8.0,"Great meal plans, and customer service is fantastic."
182,26.0,12.0,5.0,"Good quality, needs more variety."
183,29.0,,5.0,"The service was okay, but portions could be bigger."
184,28.0,3.0,8.0,The subscription saves me so much time!
185,,10.0,7.0,"Not bad, but not outstanding either."
186,40.0,7.0,8.0,The subscription saves me so much time!
187,19.0,12.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
188,20.0,1.0,7.0,"The service was okay, but portions could be bigger."
189,26.0,3.0,5.0,"Not bad, but not outstanding either."
190,36.0,3.0,,Too expensive for the portion size.
191,,3.0,6.0,"Not bad, but not outstanding either."
192,24.0,5.0,9.0,The subscription saves me so much time!
193,30.0,2.0,7.0,"Not bad, but not outstanding either."
194,25.0,4.0,5.0,"Not bad, but not outstanding either."
195,23.0,3.0,7.0,"The service was okay, but portions could be bigger."
196,28.0,10.0,8.0,"Healthy, tasty, and super easy to prepare!"
197,26.0,7.0,,"The service was okay, but portions could be bigger."
198,30.0,8.0,7.0,"The service was okay, but portions could be bigger."
199,31.0,1.0,7.0,I wish they had more flexible delivery times.
200,27.0,3.0,5.0,"Not bad, but not outstanding either."
201,,1.0,8.0,"Healthy, tasty, and super easy to prepare!"
202,26.0,1.0,8.0,"Healthy, tasty, and super easy to prepare!"
203,27.0,2.0,9.0,Loved the variety and convenience of the meals!
204,25.0,1.0,9.0,The subscription saves me so much time!
205,25.0,7.0,4.0,The meals were bland and arrived late!
206,31.0,,5.0,"Some meals were great, others were average."
207,33.0,1.0,8.0,Loved the variety and convenience of the meals!
208,17.0,13.0,8.0,The subscription saves me so much time!
209,25.0,1.0,,Fresh ingredients and well-balanced meals—highly recommend!
210,22.0,8.0,10.0,"Healthy, tasty, and super easy to prepare!"
211,23.0,8.0,8.0,"Great meal plans, and customer service is fantastic."
212,27.0,18.0,,"Great meal plans, and customer service is fantastic."
213,28.0,1.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
214,24.0,3.0,8.0,The subscription saves me so much time!
215,15.0,1.0,6.0,"Good quality, needs more variety."
216,20.0,4.0,9.0,The subscription saves me so much time!
217,29.0,19.0,5.0,"The service was okay, but portions could be bigger."
218,11.0,12.0,7.0,I wish they had more flexible delivery times.
219,31.0,,6.0,"The service was okay, but portions could be bigger."
220,28.0,6.0,7.0,"Some meals were great, others were average."
221,32.0,17.0,10.0,"Healthy, tasty, and super easy to prepare!"
222,24.0,4.0,,Too expensive for the portion size.
223,15.0,1.0,8.0,Loved the variety and convenience of the meals!
224,27.0,,4.0,Delivery was late.
225,,2.0,,"Some meals were great, others were average."
226,30.0,1.0,9.0,Loved the variety and convenience of the meals!
227,22.0,1.0,,I wish they had more flexible delivery times.
228,25.0,7.0,5.0,"The service was okay, but portions could be bigger."
229,22.0,7.0,6.0,"Not bad, but not outstanding either."
230,21.0,2.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
231,30.0,10.0,6.0,"Some meals were great, others were average."
232,19.0,,7.0,"The service was okay, but portions could be bigger."
233,21.0,20.0,7.0,"Good quality, needs more variety."
234,,7.0,6.0,"The service was okay, but portions could be bigger."
235,,12.0,10.0,"Great meal plans, and customer service is fantastic."
236,26.0,11.0,8.0,The subscription saves me so much time!
237,31.0,2.0,3.0,Too expensive for the portion size.
238,,2.0,7.0,"Not bad, but not outstanding either."
239,17.0,5.0,6.0,"Some meals were great, others were average."
240,29.0,1.0,9.0,Loved the variety and convenience of the meals!
241,33.0,2.0,5.0,"Some meals were great, others were average."
242,22.0,5.0,7.0,"Not bad, but not outstanding either."
243,23.0,1.0,,"Healthy, tasty, and super easy to prepare!"
244,28.0,1.0,9.0,"Healthy, tasty, and super easy to prepare!"
245,33.0,,5.0,I wish they had more flexible delivery times.
246,22.0,10.0,6.0,"The service was okay, but portions could be bigger."
247,18.0,14.0,6.0,"The service was okay, but portions could be bigger."
248,28.0,6.0,6.0,I wish they had more flexible delivery times.
249,29.0,5.0,10.0,Loved the variety and convenience of the meals!
250,25.0,3.0,8.0,"Great meal plans, and customer service is fantastic."
251,22.0,1.0,4.0,I canceled my subscription after a week.
252,30.0,1.0,9.0,Loved the variety and convenience of the meals!
253,28.0,12.0,,"Healthy, tasty, and super easy to prepare!"
254,21.0,5.0,9.0,"Healthy, tasty, and super easy to prepare!"
255,25.0,12.0,4.0,Too expensive for the portion size.
256,18.0,9.0,6.0,"Not bad, but not outstanding either."
257,28.0,1.0,10.0,"Healthy, tasty, and super easy to prepare!"
258,24.0,5.0,6.0,I wish they had more flexible delivery times.
259,23.0,4.0,,"Healthy, tasty, and super easy to prepare!"
260,25.0,4.0,,Loved the variety and convenience of the meals!
261,25.0,6.0,5.0,"Some meals were great, others were average."
262,29.0,24.0,7.0,"Some meals were great, others were average."
263,28.0,,,Delivery was late.
264,24.0,18.0,5.0,"Some meals were great, others were average."
265,29.0,1.0,6.0,I wish they had more flexible delivery times.
266,27.0,1.0,5.0,"Good quality, needs more variety."
267,23.0,1.0,,Fresh ingredients and well-balanced meals—highly recommend!
268,24.0,2.0,4.0,The ingredients didn’t seem fresh.
269,24.0,4.0,,"Some meals were great, others were average."
270,28.0,8.0,7.0,"Good quality, needs more variety."
271,23.0,5.0,10.0,The subscription saves me so much time!
272,23.0,18.0,4.0,Too expensive for the portion size.
273,35.0,22.0,9.0,"Great meal plans, and customer service is fantastic."
274,30.0,1.0,,"Some meals were great, others were average."
275,21.0,15.0,5.0,"Some meals were great, others were average."
276,28.0,5.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
277,26.0,4.0,7.0,"Not bad, but not outstanding either."
278,27.0,,6.0,"The service was okay, but portions could be bigger."
279,26.0,1.0,7.0,"Not bad, but not outstanding either."
280,,17.0,6.0,"Good quality, needs more variety."
281,27.0,8.0,7.0,"Some meals were great, others were average."
282,25.0,16.0,8.0,"Healthy, tasty, and super easy to prepare!"
283,30.0,24.0,10.0,"Great meal plans, and customer service is fantastic."
284,26.0,5.0,5.0,"Some meals were great, others were average."
285,26.0,1.0,10.0,"Great meal plans, and customer service is fantastic."
286,,1.0,3.0,I canceled my subscription after a week.
287,25.0,3.0,7.0,"Some meals were great, others were average."
288,25.0,1.0,8.0,"Healthy, tasty, and super easy to prepare!"
289,22.0,13.0,8.0,"Great meal plans, and customer service is fantastic."
290,21.0,2.0,6.0,"Not bad, but not outstanding either."
291,20.0,24.0,7.0,"Not bad, but not outstanding either."
292,18.0,,6.0,"The service was okay, but portions could be bigger."
293,,,6.0,I wish they had more flexible delivery times.
294,24.0,5.0,,The subscription saves me so much time!
295,26.0,5.0,8.0,"Healthy, tasty, and super easy to prepare!"
296,24.0,5.0,6.0,I wish they had more flexible delivery times.
297,13.0,6.0,,Fresh ingredients and well-balanced meals—highly recommend!
298,33.0,1.0,,The subscription saves me so much time!
299,30.0,9.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
300,27.0,5.0,8.0,"Healthy, tasty, and super easy to prepare!"
301,35.0,12.0,5.0,"The service was okay, but portions could be bigger."
302,20.0,13.0,6.0,"The service was okay, but portions could be bigger."
303,34.0,2.0,8.0,"Healthy, tasty, and super easy to prepare!"
304,20.0,1.0,8.0,"Healthy, tasty, and super easy to prepare!"
305,26.0,9.0,7.0,"Some meals were great, others were average."
306,19.0,24.0,7.0,"The service was okay, but portions could be bigger."
307,,,10.0,"Healthy, tasty, and super easy to prepare!"
308,27.0,2.0,6.0,"Not bad, but not outstanding either."
309,24.0,1.0,8.0,The subscription saves me so much time!
310,,2.0,7.0,"Some meals were great, others were average."
311,25.0,3.0,7.0,I wish they had more flexible delivery times.
312,22.0,4.0,9.0,Loved the variety and convenience of the meals!
313,22.0,8.0,9.0,The subscription saves me so much time!
314,29.0,2.0,9.0,"Healthy, tasty, and super easy to prepare!"
315,22.0,1.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
316,,3.0,7.0,"Some meals were great, others were average."
317,31.0,15.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
318,,5.0,6.0,"The service was okay, but portions could be bigger."
319,31.0,24.0,8.0,"Healthy, tasty, and super easy to prepare!"
320,35.0,5.0,7.0,I wish they had more flexible delivery times.
321,,2.0,7.0,"Good quality, needs more variety."
322,,1.0,8.0,The subscription saves me so much time!
323,30.0,9.0,5.0,"Good quality, needs more variety."
324,24.0,6.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
325,26.0,7.0,5.0,"Some meals were great, others were average."
326,,11.0,5.0,"Good quality, needs more variety."
327,26.0,10.0,9.0,"Great meal plans, and customer service is fantastic."
328,27.0,1.0,9.0,Loved the variety and convenience of the meals!
329,28.0,12.0,8.0,Loved the variety and convenience of the meals!
330,30.0,6.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
331,21.0,3.0,7.0,"Some meals were great, others were average."
332,,6.0,,"The service was okay, but portions could be bigger."
333,34.0,7.0,7.0,"Not bad, but not outstanding either."
334,,1.0,6.0,"Good quality, needs more variety."
335,26.0,4.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
336,25.0,3.0,7.0,I wish they had more flexible delivery times.
337,21.0,3.0,5.0,"Not bad, but not outstanding either."
338,33.0,1.0,6.0,"The service was okay, but portions could be bigger."
339,22.0,1.0,,Fresh ingredients and well-balanced meals—highly recommend!
340,19.0,1.0,6.0,"Good quality, needs more variety."
341,23.0,3.0,5.0,"Not bad, but not outstanding either."
342,15.0,,,I wish they had more flexible delivery times.
343,22.0,1.0,7.0,"Some meals were great, others were average."
344,,4.0,,"Good quality, needs more variety."
345,28.0,2.0,6.0,"Good quality, needs more variety."
346,22.0,12.0,7.0,"Some meals were great, others were average."
347,,1.0,,Too expensive for the portion size.
348,32.0,1.0,4.0,Too expensive for the portion size.
349,29.0,1.0,6.0,"The service was okay, but portions could be bigger."
350,24.0,24.0,7.0,"Good quality, needs more variety."
351,26.0,6.0,8.0,"Healthy, tasty, and super easy to prepare!"
352,,1.0,10.0,"Healthy, tasty, and super easy to prepare!"
353,24.0,2.0,9.0,Loved the variety and convenience of the meals!
354,21.0,1.0,7.0,"Not bad, but not outstanding either."
355,28.0,1.0,7.0,"Not bad, but not outstanding either."
356,38.0,12.0,5.0,I wish they had more flexible delivery times.
357,27.0,,7.0,"The service was okay, but portions could be bigger."
358,15.0,7.0,6.0,"The service was okay, but portions could be bigger."
359,23.0,3.0,8.0,Loved the variety and convenience of the meals!
360,26.0,6.0,5.0,"Good quality, needs more variety."
361,25.0,2.0,8.0,"Healthy, tasty, and super easy to prepare!"
362,21.0,2.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
363,,8.0,7.0,"Some meals were great, others were average."
364,19.0,1.0,8.0,"Great meal plans, and customer service is fantastic."
365,20.0,7.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
366,,15.0,6.0,"Not bad, but not outstanding either."
367,20.0,1.0,7.0,I wish they had more flexible delivery times.
368,28.0,18.0,7.0,I wish they had more flexible delivery times.
369,18.0,1.0,7.0,"Not bad, but not outstanding either."
370,34.0,3.0,5.0,"The service was okay, but portions could be bigger."
371,21.0,7.0,7.0,"Some meals were great, others were average."
372,24.0,6.0,8.0,"Great meal plans, and customer service is fantastic."
373,27.0,1.0,10.0,The subscription saves me so much time!
374,22.0,12.0,9.0,Loved the variety and convenience of the meals!
375,26.0,,10.0,"Healthy, tasty, and super easy to prepare!"
376,,1.0,5.0,"Good quality, needs more variety."
377,30.0,18.0,,The subscription saves me so much time!
378,29.0,6.0,7.0,"Not bad, but not outstanding either."
379,24.0,21.0,10.0,"Great meal plans, and customer service is fantastic."
380,24.0,,5.0,"Good quality, needs more variety."
381,,12.0,5.0,"Some meals were great, others were average."
382,30.0,1.0,,"Not bad, but not outstanding either."
383,20.0,17.0,3.0,The ingredients didn’t seem fresh.
384,25.0,8.0,,"Good quality, needs more variety."
385,23.0,3.0,5.0,"Not bad, but not outstanding either."
386,24.0,1.0,7.0,"Not bad, but not outstanding either."
387,19.0,13.0,8.0,Loved the variety and convenience of the meals!
388,23.0,7.0,10.0,"Great meal plans, and customer service is fantastic."
389,34.0,,,The subscription saves me so much time!
390,28.0,4.0,6.0,I wish they had more flexible delivery times.
391,13.0,14.0,,"Good quality, needs more variety."
392,31.0,3.0,8.0,The subscription saves me so much time!
393,30.0,1.0,4.0,The ingredients didn’t seem fresh.
394,23.0,19.0,,The subscription saves me so much time!
395,,3.0,,"Great meal plans, and customer service is fantastic."
396,21.0,3.0,6.0,"Good quality, needs more variety."
397,23.0,1.0,,The meals were bland and arrived late!
398,,18.0,10.0,Loved the variety and convenience of the meals!
399,24.0,,7.0,I wish they had more flexible delivery times.
400,16.0,8.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
401,25.0,17.0,4.0,I canceled my subscription after a week.
402,25.0,1.0,,"The service was okay, but portions could be bigger."
403,31.0,14.0,7.0,"Not bad, but not outstanding either."
404,25.0,4.0,,"The service was okay, but portions could be bigger."
405,,8.0,6.0,"Good quality, needs more variety."
406,30.0,3.0,8.0,Loved the variety and convenience of the meals!
407,26.0,9.0,5.0,"Some meals were great, others were average."
408,,2.0,7.0,I wish they had more flexible delivery times.
409,31.0,1.0,7.0,I wish they had more flexible delivery times.
410,26.0,23.0,,"Great meal plans, and customer service is fantastic."
411,25.0,1.0,8.0,"Great meal plans, and customer service is fantastic."
412,,13.0,5.0,I wish they had more flexible delivery times.
413,20.0,1.0,4.0,The meals were bland and arrived late!
414,,3.0,10.0,"Healthy, tasty, and super easy to prepare!"
415,25.0,13.0,8.0,The subscription saves me so much time!
416,24.0,1.0,6.0,"The service was okay, but portions could be bigger."
417,31.0,16.0,,"Healthy, tasty, and super easy to prepare!"
418,26.0,5.0,7.0,"Some meals were great, others were average."
419,29.0,,9.0,"Great meal plans, and customer service is fantastic."
420,25.0,8.0,7.0,"Some meals were great, others were average."
421,,3.0,,"Healthy, tasty, and super easy to prepare!"
422,27.0,3.0,10.0,Loved the variety and convenience of the meals!
423,25.0,10.0,7.0,"Some meals were great, others were average."
424,,2.0,9.0,Loved the variety and convenience of the meals!
425,20.0,1.0,8.0,Loved the variety and convenience of the meals!
426,28.0,13.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
427,25.0,13.0,5.0,"The service was okay, but portions could be bigger."
428,,5.0,,Fresh ingredients and well-balanced meals—highly recommend!
429,31.0,5.0,9.0,"Healthy, tasty, and super easy to prepare!"
430,19.0,,3.0,The ingredients didn’t seem fresh.
431,23.0,5.0,5.0,"Some meals were great, others were average."
432,30.0,4.0,3.0,Delivery was late.
433,27.0,,6.0,"Some meals were great, others were average."
434,25.0,1.0,8.0,"Great meal plans, and customer service is fantastic."
435,,7.0,,"Great meal plans, and customer service is fantastic."
436,26.0,17.0,,"Good quality, needs more variety."
437,17.0,9.0,10.0,Loved the variety and convenience of the meals!
438,23.0,17.0,4.0,Too expensive for the portion size.
439,,,4.0,The ingredients didn’t seem fresh.
440,22.0,2.0,7.0,"Not bad, but not outstanding either."
441,23.0,15.0,8.0,"Great meal plans, and customer service is fantastic."
442,22.0,4.0,7.0,"The service was okay, but portions could be bigger."
443,25.0,9.0,,Delivery was late.
444,22.0,1.0,7.0,"Some meals were great, others were average."
445,27.0,11.0,4.0,Too expensive for the portion size.
446,26.0,6.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
447,29.0,2.0,,"Great meal plans, and customer service is fantastic."
448,20.0,5.0,5.0,"The service was okay, but portions could be bigger."
449,23.0,9.0,6.0,I wish they had more flexible delivery times.
450,24.0,1.0,5.0,"Good quality, needs more variety."
451,,8.0,7.0,"Some meals were great, others were average."
452,21.0,6.0,9.0,"Healthy, tasty, and super easy to prepare!"
453,,,,"Good quality, needs more variety."
454,31.0,11.0,,The subscription saves me so much time!
455,20.0,2.0,6.0,"Good quality, needs more variety."
456,23.0,,,I wish they had more flexible delivery times.
457,22.0,5.0,7.0,"Not bad, but not outstanding either."
458,,,5.0,I wish they had more flexible delivery times.
459,23.0,21.0,6.0,"The service was okay, but portions could be bigger."
460,33.0,1.0,,"Good quality, needs more variety."
461,19.0,4.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
462,20.0,1.0,7.0,"Not bad, but not outstanding either."
463,22.0,11.0,,"Some meals were great, others were average."
464,21.0,4.0,7.0,I wish they had more flexible delivery times.
465,24.0,9.0,7.0,"The service was okay, but portions could be bigger."
466,21.0,3.0,7.0,"Good quality, needs more variety."
467,21.0,14.0,8.0,"Great meal plans, and customer service is fantastic."
468,31.0,6.0,9.0,Fresh ingredients and well-balanced meals—highly recommend!
469,,23.0,6.0,"The service was okay, but portions could be bigger."
470,30.0,,6.0,"Good quality, needs more variety."
471,28.0,5.0,6.0,"Good quality, needs more variety."
472,25.0,11.0,2.0,Too expensive for the portion size.
473,23.0,7.0,4.0,Delivery was late.
474,20.0,1.0,10.0,Fresh ingredients and well-balanced meals—highly recommend!
475,27.0,24.0,10.0,"Healthy, tasty, and super easy to prepare!"
476,19.0,2.0,7.0,"The service was okay, but portions could be bigger."
477,20.0,2.0,8.0,"Healthy, tasty, and super easy to prepare!"
478,31.0,5.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
479,35.0,6.0,,Fresh ingredients and well-balanced meals—highly recommend!
480,27.0,11.0,9.0,Loved the variety and convenience of the meals!
481,31.0,,7.0,"Good quality, needs more variety."
482,24.0,4.0,5.0,"Some meals were great, others were average."
483,18.0,6.0,4.0,Too expensive for the portion size.
